Paid Media Development,FALSE,Send Paid Assets to QA,"Thu, Dec 4","Fri, Dec 5",1,2,No,Designer,,,,,,
Paid Media Development,FALSE,Release Paid Assets to Kepler,"Mon, Dec 8","Fri, Dec 12",4,5,Yes,Joe L or Julio,,,,,,
Paid Media Development,FALSE,Launch,"Mon, Dec 15","Mon, Dec 15",0,1,No,"Proofreader, Designer, Compliance",,,,,,
,Email Development,,,,,,Yes,QA,,,,,,
Email Development,FALSE,Creative Production,"Mon, Nov 24","Tue, Dec 2",4,5,Yes,Joe L,,,,,,
Email Development,FALSE,Send Emails to Development,"Wed, Dec 3","Fri, Dec 5",2,3,Yes,Joe L,,,,,,
Email Development,FALSE,Development | Design QC,"Mon, Dec 8","Mon, Dec 8",0,1,,,,,,,,
Email Development,FALSE,Development | Proofreading,"Mon, Dec 8","Mon, Dec 8",0,1,No,Designer,,,,,,
Email Development,FALSE,Development | Compliance Review,"Mon, Dec 8","Mon, Dec 8",0,1,Yes,QA,,,,,,
Email Development,FALSE,Build Responsys Workbooks,"Tue, Dec 9","Tue, Dec 9",0,1,Yes,PM,,,,,,
Email Development,FALSE,"Add ""View in Browser"" Links to Source Doc","Wed, Dec 10","Wed, Dec 10",0,1,Yes,Paid Media,,,,,,
Email Development,FALSE,Issue Proofs,"Wed, Dec 10","Wed, Dec 10",0,1,,,,,,,,
Email Development,FALSE,QA Verification,"Thu, Dec 11","Thu, Dec 11",0,1,No,Designer,,,,,,
Email Development,FALSE,Development | Stakeholder Review,"Fri, Dec 12","Fri, Dec 12",0,1,Yes,QA,,,,,,
Email Development,FALSE,Final Segmentation Review,"Fri, Dec 12","Fri, Dec 12",0,1,No,PM,,,,,,
Email Development,FALSE,Campaign Peer Review,"Fri, Dec 12","Fri, Dec 12",0,1,No,Proofreader,,,,,,
Email Development,FALSE,Deploy Launch Email,"Mon, Dec 15","Mon, Dec 15",0,1,No,Compliance,,,,,,
